# Firewall Log Export — 2025-09-15 02:14:00 to 02:26:00 UTC
# Format: TIMESTAMP ACTION PROTO SRC -> DST SERVICE

2025-09-15 02:14:00 ALLOW TCP 198.51.100.23:44120 -> 10.0.5.20:22 SSH
2025-09-15 02:14:01 ALLOW TCP 198.51.100.23:44121 -> 10.0.5.20:22 SSH
2025-09-15 02:14:02 ALLOW TCP 198.51.100.23:44122 -> 10.0.5.20:22 SSH
2025-09-15 02:14:03 ALLOW TCP 198.51.100.23:44123 -> 10.0.5.20:22 SSH
2025-09-15 02:14:04 ALLOW TCP 198.51.100.23:44124 -> 10.0.5.20:22 SSH
2025-09-15 02:14:05 ALLOW TCP 198.51.100.23:44125 -> 10.0.5.20:22 SSH
2025-09-15 02:14:10 ALLOW TCP 198.51.100.23:44130 -> 10.0.5.20:22 SSH
2025-09-15 02:14:15 ALLOW TCP 198.51.100.23:44135 -> 10.0.5.20:22 SSH
2025-09-15 02:14:20 ALLOW TCP 198.51.100.23:44140 -> 10.0.5.20:22 SSH
2025-09-15 02:14:30 ALLOW TCP 198.51.100.23:44150 -> 10.0.5.20:22 SSH
2025-09-15 02:14:33 ALLOW TCP 198.51.100.23:44153 -> 10.0.5.20:22 SSH
# ... (47 total SSH connection attempts from 198.51.100.23)
2025-09-15 02:15:01 ALLOW TCP 198.51.100.23:44168 -> 10.0.5.20:22 SSH
2025-09-15 02:15:10 ALLOW TCP 10.0.5.20:55100 -> 192.0.2.100:80 HTTP
2025-09-15 02:15:11 ALLOW TCP 192.0.2.100:80 -> 10.0.5.20:55100 HTTP
2025-09-15 02:17:45 ALLOW TCP 10.0.5.20:55123 -> 192.0.2.100:443 HTTPS
2025-09-15 02:17:46 ALLOW TCP 192.0.2.100:443 -> 10.0.5.20:55123 HTTPS
2025-09-15 02:18:15 ALLOW TCP 10.0.5.20:55124 -> 192.0.2.100:443 HTTPS
2025-09-15 02:18:45 ALLOW TCP 10.0.5.20:55125 -> 192.0.2.100:443 HTTPS
2025-09-15 02:19:15 ALLOW TCP 10.0.5.20:55126 -> 192.0.2.100:443 HTTPS
2025-09-15 02:19:45 ALLOW TCP 10.0.5.20:55127 -> 192.0.2.100:443 HTTPS
# NOTE: 30-second beacon interval pattern 02:17:45 -> 02:18:15 -> 02:18:45 ...
2025-09-15 02:20:12 ALLOW TCP 10.0.5.20:49200 -> 10.0.5.30:445 SMB
2025-09-15 02:20:13 ALLOW TCP 10.0.5.30:445 -> 10.0.5.20:49200 SMB
2025-09-15 02:20:15 ALLOW TCP 10.0.5.20:49201 -> 10.0.5.30:135 DCOM/WMI
2025-09-15 02:20:16 ALLOW TCP 10.0.5.30:135 -> 10.0.5.20:49201 DCOM/WMI
2025-09-15 02:24:00 ALLOW TCP 10.0.5.30:60100 -> 192.0.2.100:443 HTTPS
2025-09-15 02:24:01 ALLOW TCP 192.0.2.100:443 -> 10.0.5.30:60100 HTTPS
# NOTE: Sustained high-bandwidth transfer 02:24:01 - 02:25:00 (~2.3GB)
2025-09-15 02:25:00 ALLOW TCP 10.0.5.30:60100 -> 192.0.2.100:443 HTTPS [FIN]
